target          | cbow_exp_soft0  <-> cbow_exp_lstm0 
zonsopgang      | 0               <-> 1              
kinderen        | 0               <-> 1              
flink           | 0               <-> 1              
binnen          | 0               <-> 3              
stijlen         | 0               <-> 1              
tussen          | 1               <-> 2              
woordje         | 0               <-> 1              
double          | 0               <-> 1              
aan             | 5               <-> 14             
terstond        | 0               <-> 1              
dank            | 0               <-> 1              
werd            | 3               <-> 6              
markante        | 0               <-> 1              
Peter           | 0               <-> 1              
beker           | 0               <-> 1              
Schotland       | 0               <-> 1              
vijf            | 1               <-> 3              
kreten          | 0               <-> 1              
mistbank        | 0               <-> 1              
weekje          | 0               <-> 1              
ontwerpen       | 0               <-> 1              
buien           | 0               <-> 1              
natuurlijke     | 0               <-> 1              
sport           | 0               <-> 2              
Duitser         | 0               <-> 2              
bedragen        | 0               <-> 1              
bewolking       | 0               <-> 1              
vanaf           | 0               <-> 1              
bekomen         | 0               <-> 1              
vonden          | 0               <-> 1              
uitgeschakeld   | 0               <-> 1              
zeker           | 0               <-> 3              
quote           | 0               <-> 1              
afwisseling     | 0               <-> 1              
verdeelde       | 0               <-> 1              
vernielde       | 0               <-> 1              
zoals           | 1               <-> 3              
Kempen          | 0               <-> 1              
kleine          | 0               <-> 1              
oog             | 0               <-> 1              
drum'n'bass     | 0               <-> 1              
professional    | 1               <-> 2              
huist           | 0               <-> 1              
minimale        | 0               <-> 1              
vijf-en         | 0               <-> 2              
vader           | 1               <-> 3              
opvolger        | 0               <-> 1              
tenen           | 1               <-> 4              
zoiets          | 0               <-> 1              
fleur           | 0               <-> 1              
bedoeling       | 0               <-> 2              
microfoon       | 0               <-> 1              
tussendoor      | 0               <-> 1              
staalblauwe     | 0               <-> 1              
feestelijk      | 0               <-> 1              
ochtendgrijs    | 0               <-> 1              
omlaag          | 0               <-> 1              
allerhoogste    | 0               <-> 1              
Spanjaard       | 0               <-> 3              
tweejaarlijkse  | 0               <-> 1              
Masters         | 2               <-> 3              
bevel           | 0               <-> 1              
geheel          | 0               <-> 1              
optekenen       | 0               <-> 1              
warmere         | 0               <-> 1              
geen            | 2               <-> 5              
periode         | 0               <-> 1              
hoge            | 0               <-> 1              
Angel           | 0               <-> 1              
gauw            | 0               <-> 1              
achttien        | 1               <-> 2              
eeuw            | 0               <-> 1              
Craig           | 0               <-> 1              
bal             | 3               <-> 4              
Hoge            | 0               <-> 1              
moeten          | 0               <-> 3              
Lee             | 0               <-> 1              
zonet           | 0               <-> 1              
Cunningham      | 0               <-> 1              
John            | 1               <-> 4              
trotse          | 0               <-> 1              
hier            | 0               <-> 1              
won             | 3               <-> 4              
plaatjes        | 0               <-> 1              
vond            | 0               <-> 1              
ondertussen     | 0               <-> 1              
tent            | 0               <-> 1              
elektronica     | 0               <-> 1              
we              | 4               <-> 6              
opnieuw         | 0               <-> 1              
voorspeld       | 0               <-> 1              
scheelde        | 0               <-> 1              
cut             | 0               <-> 1              
auteur          | 0               <-> 1              
werk            | 0               <-> 1              
je              | 0               <-> 1              
zagen           | 0               <-> 1              
zonsondergang   | 0               <-> 1              
ja              | 0               <-> 1              
muur            | 1               <-> 2              
gescheiden      | 0               <-> 1              
anders          | 0               <-> 1              
ophalen         | 0               <-> 1              
gevolgd         | 0               <-> 1              
vriendschappelijk | 0               <-> 1              
Woods           | 0               <-> 4              
ingenieuze      | 0               <-> 1              
brak            | 0               <-> 1              
Kraftwerk       | 0               <-> 1              
verdween        | 0               <-> 1              
hetzelfde       | 0               <-> 2              
gemiddeld       | 0               <-> 1              
soort           | 0               <-> 1              
Diana           | 0               <-> 1              
handbereik      | 0               <-> 1              
geschiedenis    | 0               <-> 1              
lucht           | 0               <-> 3              
toeschouwers    | 0               <-> 1              
elektro         | 0               <-> 1              
maandag         | 0               <-> 1              
verslaggevers   | 0               <-> 1              
superlatieven   | 0               <-> 1              
plaatsje        | 0               <-> 2              
geschikte       | 0               <-> 1              
drank           | 1               <-> 2              
gelachen        | 0               <-> 1              
fenomenale      | 0               <-> 1              
wenste          | 0               <-> 1              
jasje           | 0               <-> 1              
aanvoer         | 0               <-> 1              
geluk           | 0               <-> 1              
vochtige        | 0               <-> 1              
gat             | 0               <-> 1              
analogie        | 0               <-> 1              
echte           | 0               <-> 1              
enkele          | 2               <-> 5              
dronken         | 0               <-> 1              
zwoer           | 0               <-> 1              
carrière       | 0               <-> 1              
stroming        | 0               <-> 2              
ook             | 3               <-> 7              
voet            | 0               <-> 1              
draagt          | 0               <-> 1              
vriespunt       | 0               <-> 1              
Open            | 5               <-> 10             
Colin           | 0               <-> 1              
Ignacio         | 0               <-> 1              
banen           | 0               <-> 1              
gewaagde        | 0               <-> 1              
ik              | 3               <-> 7              
in              | 34              <-> 63             
categorie       | 0               <-> 1              
lezers          | 0               <-> 1              
enzovoort       | 0               <-> 2              
kwam            | 1               <-> 3              
kledij          | 0               <-> 1              
par             | 1               <-> 4              
nummer          | 0               <-> 2              
gedeelde        | 0               <-> 1              
frustratie      | 0               <-> 1              
ieders          | 0               <-> 1              
plaats          | 1               <-> 3              
muziek          | 0               <-> 1              
hoorn           | 0               <-> 1              
opgebouwd       | 0               <-> 1              
boven           | 2               <-> 4              
veel            | 1               <-> 2              
weer            | 2               <-> 4              
off             | 0               <-> 2              
bedankte        | 0               <-> 1              
Staten          | 0               <-> 1              
gedacht         | 0               <-> 1              
afstand         | 0               <-> 1              
almaar          | 0               <-> 1              
avonden         | 0               <-> 1              
drie            | 2               <-> 3              
tijden          | 0               <-> 1              
Europees        | 0               <-> 1              
andere          | 1               <-> 2              
profs           | 0               <-> 1              
evenveel        | 0               <-> 1              
landgenoot      | 0               <-> 1              
Andrew          | 0               <-> 1              
zon             | 2               <-> 4              
nadat           | 0               <-> 1              
continent       | 0               <-> 1              
tweede          | 4               <-> 8              
vakliteratuur   | 0               <-> 1              
elk             | 1               <-> 2              
mentale         | 0               <-> 1              
hindernis       | 0               <-> 2              
Venen           | 0               <-> 1              
zes-en          | 0               <-> 1              
wandeling       | 0               <-> 1              
grauwe          | 0               <-> 1              
telefoneerde    | 0               <-> 1              
heilige         | 0               <-> 1              
snoepje         | 0               <-> 1              
exclusief       | 0               <-> 1              
Noordzee        | 0               <-> 1              
heet            | 0               <-> 1              
eer             | 0               <-> 1              
derde           | 1               <-> 3              
geraakte        | 0               <-> 1              
elke            | 0               <-> 2              
primitieve      | 0               <-> 1              
slotronde       | 1               <-> 2              
astronomen      | 0               <-> 1              
Mark            | 0               <-> 2              
authentieke     | 0               <-> 1              
naar            | 6               <-> 8              
loop            | 0               <-> 1              
soms            | 0               <-> 1              
braken          | 0               <-> 1              
stroomt         | 0               <-> 1              
vrij            | 0               <-> 2              
gewonnen        | 1               <-> 2              
gevolgen        | 0               <-> 1              
doet            | 0               <-> 1              
sprong          | 0               <-> 1              
zuchtte         | 0               <-> 1              
voorbije        | 0               <-> 1              
slaagden        | 0               <-> 1              
duwt            | 0               <-> 1              
zoeken          | 0               <-> 1              
acht            | 0               <-> 1              
plots           | 0               <-> 2              
oud-strijder    | 0               <-> 1              
om              | 9               <-> 13             
topfavorieten   | 0               <-> 1              
nochtans        | 1               <-> 2              
US              | 4               <-> 10             
langer          | 1               <-> 3              
stand           | 0               <-> 1              
zandgronden     | 0               <-> 1              
faits           | 0               <-> 1              
op              | 29              <-> 42             
wildcards       | 0               <-> 1              
tijdens         | 0               <-> 1              
duidelijk       | 0               <-> 1              
vliegen         | 0               <-> 1              
gras            | 1               <-> 2              
eind            | 0               <-> 1              
liet            | 0               <-> 3              
bedraagt        | 0               <-> 1              
slecht          | 0               <-> 1              
het             | 48              <-> 57             
rondje          | 1               <-> 4              
brede           | 0               <-> 2              
rapen           | 0               <-> 1              
logeren         | 0               <-> 1              
herfstweer      | 0               <-> 1              
waardoor        | 0               <-> 1              
start           | 0               <-> 1              
heb             | 0               <-> 3              
hem             | 2               <-> 7              
afsloot         | 0               <-> 1              
verplicht       | 0               <-> 1              
opmerken        | 0               <-> 1              
amateur         | 0               <-> 2              
Carl            | 0               <-> 1              
zeven           | 1               <-> 2              
betekent        | 0               <-> 1              
gore            | 0               <-> 1              
gevoel          | 0               <-> 1              
junior          | 0               <-> 1              
duel            | 0               <-> 1              
mooie           | 0               <-> 2              
spraken         | 0               <-> 1              
deep            | 0               <-> 1              
voorsprong      | 0               <-> 1              
Gentse          | 0               <-> 1              
opgevist        | 0               <-> 1              
wereldranglijst | 0               <-> 1              
rust            | 0               <-> 1              
zette           | 0               <-> 1              
trio            | 0               <-> 1              
al              | 2               <-> 13             
festival        | 0               <-> 1              
erin            | 0               <-> 1              
beats           | 0               <-> 1              
uit             | 3               <-> 4              
beschreven      | 0               <-> 1              
Ben             | 1               <-> 2              
deed            | 0               <-> 1              
beslecht        | 0               <-> 1              
warme           | 0               <-> 1              
nam             | 0               <-> 1              
zaak            | 0               <-> 1              
opgeroepen      | 0               <-> 1              
meest           | 0               <-> 1              
stapte          | 0               <-> 1              
daarvan         | 0               <-> 2              
Phil            | 3               <-> 6              
etiket          | 0               <-> 1              
eindigde        | 0               <-> 1              
tegengekomen    | 0               <-> 1              
kort            | 0               <-> 2              
DJ              | 0               <-> 3              
weekend         | 0               <-> 2              
Stewart         | 1               <-> 4              
lang            | 1               <-> 2              
verhaal         | 0               <-> 1              
richting        | 0               <-> 1              
paragraaf       | 0               <-> 1              
sterrenhemel    | 0               <-> 1              
holes           | 1               <-> 3              
Ardennen        | 1               <-> 2              
Belgische       | 0               <-> 1              
u               | 0               <-> 3              
verder          | 0               <-> 1              
aanvoelt        | 0               <-> 1              
wereld          | 0               <-> 3              

better_words: 
model 1: cbow_exp_soft0 = 601
model 2: cbow_exp_lstm0 = 539
same: 86
